Reaction Date,Reaction Type,Parent Type,Parent ID
"Jan 15, 2023, 12:35:57 PM",Kudos,Activity,8395547332
"Jan 15, 2023, 12:39:10 PM",Kudos,Activity,8385846830
"Jan 15, 2023, 12:39:14 PM",Kudos,Activity,8394258726
"Jan 15, 2023, 12:39:35 PM",Kudos,Activity,8395639172
"Jan 15, 2023, 12:39:36 PM",Kudos,Activity,8395109124
"Jan 15, 2023, 12:39:37 PM",Kudos,Activity,8391757106
"Jan 15, 2023, 12:39:41 PM",Kudos,Activity,8386963218
"Jan 15, 2023, 4:13:08 PM",Kudos,Activity,8396418429
"Jan 16, 2023, 12:54:01 PM",Kudos,Activity,8399901617
"Jan 17, 2023, 1:58:20 PM",Kudos,Activity,8406379575
"Jan 18, 2023, 2:41:24 PM",Kudos,Activity,8411700203
"Jan 18, 2023, 2:41:27 PM",Kudos,Activity,8411666900
"Jan 18, 2023, 2:41:30 PM",Kudos,Activity,8411804214
"Jan 18, 2023, 2:41:51 PM",Kudos,Activity,8408271390
"Jan 18, 2023, 2:41:53 PM",Kudos,Activity,8411960947
"Jan 20, 2023, 12:15:48 PM",Kudos,Activity,8421795982
"Jan 20, 2023, 2:19:16 PM",Kudos,Activity,8422436670
"Jan 20, 2023, 8:59:41 PM",Kudos,Activity,8423633513
"Jan 22, 2023, 9:29:55 AM",Kudos,Activity,8426708619
"Jan 22, 2023, 9:30:03 AM",Kudos,Activity,8426485468
"Jan 25, 2023, 9:48:26 AM",Kudos,Activity,8448232351
"Jan 30, 2023, 8:58:44 AM",Kudos,Activity,8471614209
"Jan 30, 2023, 8:59:41 AM",Kudos,Activity,8470843611
"Jan 30, 2023, 8:59:47 AM",Kudos,Activity,8470030791
"Jan 30, 2023, 1:46:51 PM",Kudos,Activity,8476352257
"Feb 1, 2023, 8:33:14 AM",Kudos,Activity,8486075571
"Feb 1, 2023, 8:33:16 AM",Kudos,Activity,8484329426
"Feb 1, 2023, 8:33:45 AM",Kudos,Activity,8483850954
"Feb 1, 2023, 8:33:53 AM",Kudos,Activity,8476561411
