Category,Flagged Type,Flagged ID,Comments,Created At
Bad GPS data,Activity,9056341389,"","May 12, 2023, 8:25:22 AM"
Bad GPS data,Activity,9239518264,"","Jun 10, 2023, 3:03:13 PM"
